eName,eDay,ePlace
同好包场魔都海王包场,2018/12/9,上海市普陀区真北路818号近铁城市广场F4
茶会妖都CLAMP主题茶话会,2018/12/8,番禺区板桥陈地路图兰朵轰趴（7号线板桥地铁站A出口）
综合同人展深圳大学ALFA秋祭动漫同人嘉年华,2018/12/1,南山区深圳大学石头坞广场
综合同人展Comic多边形 同人交流展,2018-12-01～2018-12-02,五角场安波路998号创智汇三层
LIVEV.K克“时空涟漪”2018巡回演奏会-上海站,2018/11/30,万代南梦宫上海文化中心 1F梦想剧场
ONLY魔都镇魂only,2018/11/17,华灵路1088号绍兴饭店四楼华章厅
同好包场神奇动物在哪里2魔都魔法部观影,2018-11-16～2018-11-17,和平影都
ONLY魔都游戏王only,2018/11/11,上海市宝山区沪太路2695号（木文化博物馆）
LIVESPYAIR WORLD TOUR 2018 北京站,2018/11/11,糖果TANGO-雍和宫店三层
LIVEMILI 创作乐队 LIVE TOUR 2018,2018/11/11,MILI 创作乐队 LIVE TOUR 2018
茶会广州叶蓝茶话会,2018/11/10,珞珈1893创业咖啡（科韵路24号测绘大厦1楼104铺）
LIVESPYAIR WORLD TOUR 2018 广州站,2018/11/7,广州市海珠区新港东路1088号六元素体验天地一层
ONLY武汉跑跑姜饼人ONLY,2018/11/4,湖北省武汉市硚口区解放大道1131号长江大酒店水晶厅
ONLY广州Marvel Only,2018/11/3,待定
ONLY武汉FGO-only,2018-11-03～2018-11-04,武汉市汉阳区琴台汉阳艺术区
ONLY2018年魔都塚不二ONLY,2018/10/27,上海市黄浦区汉口路398号华盛大厦（近南京东路地铁站）
ONLY一布江湖魔都布袋戏only,2018/10/27,上海市宝山区沪太路2695号（木文化博物馆）
综合展囧神CO创作展,2018-10-20～2018-10-21,朝阳区山水美术馆
ONLY魔都·我的英雄学院only2.0,2018/10/20,上海市黄浦区新闸路126号五楼（近新闸路地铁站）
LIVE【万有音乐系】松下优也2018粉丝见面会 上海站,2018/10/14,Modernsky lab
LIVE铃木木乃美 2018上海演唱会,2018/10/13,万代南梦宫上海文化中心未来剧场（上海市普陀区宜昌路179号）
ONLY2018魔都战国三国only,2018/10/5,上海市长宁区江苏北路30号荣兆园二楼东方收藏
ONLY广州东方only-東方遊劇天,2018/10/5,番禺区厦滘西环路一号岭南电商产业园会展中心
LIVE东方LiveParty x 东方游剧天,2018/10/5,广州岭南电子商务产业园一楼会展中心（广东省广州市番禺区洛浦街厦滘西环路1号）
茶会广州Unlight 茶会~圣女的下午茶邀请~,2018/10/5,广州市海珠区华艺路帝庭轩A座一楼006号
ONLY广州我的英雄学院only2.0,2018/10/4,广东省广州市厦滘岭南国际电子商务产业园
茶会广州YGO茶会~决斗者的喵喵茶会~,2018/10/4,广州市海珠区华艺路帝庭轩A座一楼006号
LIVEFalcom jdk BAND ASIA TOUR 2018~奇迹之轨迹 上海站,2018/10/4,上海•万代南梦宫上海文化中心梦想剧场
ONLY广州少女前线only,2018/10/3,广州市越秀区广园西路137号军山酒店7楼会议厅
综合同人展SEEDLING-00,2018-10-03～2018-10-04,安波路998号4楼
ONLY妖都APO 6.0,2018/10/2,番禺区厦滘西环路一号岭南电商产业园
ONLY小马扬蹄-PranceAndParty,2018-10-01～2018-10-02,"中國上海市浦东新区世博大道1368号, The River Mall"
官方活动斯坦·李（上海）动漫宇宙展,2018-10-01～2018-10-03,上海世博展览馆 国展路1099号
LIVE【万有音乐系】“远扬十年•海角重现”岛歌王子中孝介2018巡回演唱会,2018/9/26,美琪大戏院
ONLY广州镇魂only-特调处赏月宴,2018/9/23,番禺区岭南电商产业园综合楼2楼
茶会北京EXA镇魂only茶话会,2018/9/16,北京市西城区北三环中路甲3号神玉艺术馆6层
茶会魔都英伦only茶会,2018/9/15,松江区泰晤士小镇伯克大街1050号
LIVE【万有音乐系】DEPAPEPE 2018亚洲巡演上海站,2018/9/12,Mao live house
ONLY帝都星际迷航SK Only,2018/8/26,KIWI coffee 东城区银河soho C座，地铁朝阳门站G（东南口）出步行约800米
ONLY中元百鬼祭 魔都阴阳师ONLY,2018-08-25～2018-08-26,上海光大会展中心西馆3楼
综合同人展COMICUP 2018 special,2018-08-25～2018-08-26,光大会展中心
ONLY武汉凹凸世界only02,2018-08-25～2018-08-26,武汉国际会展中心
茶会吴郡策瑜ONLY茶话会,2018/8/25,平江里
综合同人展ComiAi15 & AnimePower10动漫游戏同人博览会,2018-08-25～2018-08-26,武汉国际会展中心
LIVE东方LiveParty × 东方月见语,2018/8/25,硚口区解放大道1131号武汉长江大酒店-水晶厅
ONLY魔都轰出ONLY,2018/8/25,杨浦区长阳路1687号
茶会南京镇魂茶会,2018-08-24～2018-08-26,鼓楼区南秀村21号104
ONLY北京全职ONLY2.0,2018/8/19,北京市北三环中路3号神玉艺术馆六层神玉厅
ONLY合肥slashonly04,2018/8/19,合肥银瑞林大酒店（庐阳区阜阳路16号）4楼瑞泰厅
ONLY广州排球少年ONLY,2018/8/19,广州市天河区建中路24号二楼贝塔空间
ONLY上海thonly09 -东方萤灯筏-,2018/8/18,上海市黄浦区江滨路99号 上海元荣匯/万代南梦宫上海文化中心-梦想剧场-
ONLY“镇魂女孩绝不认输！” （北京镇魂同人粉丝聚会/Only）,2018/8/18,八宝山朗园Park
ONLY成都2018年夏季富坚义博Only,2018/8/18,成都市青羊区千祥街15号 火车艺术馆
ONLY广州812雄英高校体育祭,2018/8/12,广州市洛浦街夏滘西环路1号 岭南电子商务产业园
ONLY2018魔都家庭教师ONLY,2018/8/12,上海市浦东新区
综合同人展第十八届ComiTime雾都同人祭,2018-08-11～2018-08-12,渝北区国际博览中心N8馆（轨道悦来站）
ONLY魔都APH吃货盛典2,2018/8/11,浦东新区川周公路2685号
ONLY青岛全职高手only-霸图主场6.0,2018/8/11,青岛利客来商务酒店6F(3号线-李村站F口)
综合同人展贵阳ComicHope 同人展13,2018-08-11～2018-08-12,金阳国际会展中心5号馆
ONLY2018成都百合ONLY,2018/8/11,成都金牛区礼遇天下喜宴中心
粉丝见面会费洛☆蒙「AnGeL fAlL」放映会＆talkshow in Shanghai,2018/8/11,万代南梦宫上海文化中心（上海市普陀区宜昌路179号）
ONLY2018妖都全职婚礼onLY,2018/8/11,广州市荔湾区芳村白鹅潭酒吧街b段01整栋
ONLY上海胜出ONLY,2018/8/11,普陀区宜昌路130号壹号码头艺术酒店
茶会上海雷卡only茶会,2018/8/5,普陀区真北路2167号鸿海温斯顿酒店五楼
ONLY北京全职高手专场,再定档2018-08-05,中关村梦想实验室4层创客空间
ONLY2018年妖都米英Only,2018/8/5,广州市番禺区岭南电子商务产业园有限公司综合楼二楼
ONLY2018帝都YGOonly,2018/8/5,北京市朝阳区北花园中路6号C栋明星基地一层
综合同人展YACA57届夏季动漫画展,2018-08-04～2018-08-05,海珠区新港东路630-638号南丰国际会展中心
